date,product,category,city,sales,units,customers
2024-01-01,Tablet Z,Electronics,Cali,2218,18,14
2024-01-01,Widget A,Office,Barranquilla,2473,14,12
2024-01-09,Laptop X,Electronics,Cali,2025,13,10
2024-01-15,Laptop X,Electronics,Cali,2069,21,18
2024-01-16,Laptop X,Electronics,Barranquilla,1897,11,9
2024-01-19,Phone Y,Electronics,Cali,2111,14,11
2024-01-21,Tablet Z,Electronics,Medellín,2055,13,12
2024-01-21,Chair A,Furniture,Cali,1975,12,11
2024-01-24,Widget A,Office,Medellín,2855,15,12
2024-01-27,Phone Y,Electronics,Cali,2110,12,8
2024-01-27,Tablet Z,Electronics,Cali,1964,12,9
2024-01-28,Widget A,Office,Bogotá,3937,42,31
2024-01-30,Laptop X,Electronics,Barranquilla,1929,9,6
2024-02-05,Widget B,Office,Bogotá,2929,35,26
2024-02-06,Desk B,Furniture,Medellín,2273,20,19
2024-02-06,Widget A,Office,Bogotá,4280,48,37
2024-02-06,Laptop X,Electronics,Medellín,2523,13,10
2024-02-07,Laptop X,Electronics,Barranquilla,2023,13,11
2024-02-11,Widget B,Office,Cali,2217,18,16
2024-02-11,Tablet Z,Electronics,Medellín,2391,16,12
2024-02-13,Phone Y,Electronics,Barranquilla,2431,15,12
2024-02-16,Chair A,Furniture,Bogotá,2834,28,22
2024-02-16,Widget B,Office,Bogotá,3450,19,16
2024-02-18,Tablet Z,Electronics,Barranquilla,2612,16,13
2024-02-22,Widget A,Office,Cali,2446,12,11
2024-02-24,Widget B,Office,Barranquilla,2435,17,14
2024-02-25,Desk B,Furniture,Barranquilla,2256,11,8
2024-02-25,Tablet Z,Electronics,Cali,2111,16,13
2024-02-26,Phone Y,Electronics,Medellín,1998,15,14
2024-02-28,Chair A,Furniture,Bogotá,3637,31,28
2024-02-29,Phone Y,Electronics,Bogotá,3212,35,33
2024-03-02,Laptop X,Electronics,Barranquilla,2361,14,11
2024-03-03,Chair A,Furniture,Medellín,2808,18,17
2024-03-04,Widget A,Office,Cali,2786,17,14
2024-03-05,Chair A,Furniture,Bogotá,3635,21,15
2024-03-06,Widget A,Office,Barranquilla,2964,19,18
2024-03-08,Tablet Z,Electronics,Bogotá,3077,17,15
2024-03-08,Laptop X,Electronics,Cali,2320,22,15
2024-03-10,Chair A,Furniture,Barranquilla,2594,17,14
2024-03-14,Chair A,Furniture,Medellín,2277,14,11
2024-03-16,Laptop X,Electronics,Bogotá,3789,42,34
2024-03-17,Chair A,Furniture,Barranquilla,2481,18,14
2024-03-18,Laptop X,Electronics,Barranquilla,2334,14,11
2024-03-20,Chair A,Furniture,Bogotá,3881,34,30
2024-03-29,Desk B,Furniture,Bogotá,3624,26,18
2024-03-29,Laptop X,Electronics,Medellín,2467,16,12
2024-04-05,Laptop X,Electronics,Bogotá,3224,17,13
2024-04-06,Widget A,Office,Medellín,3377,39,36
2024-04-08,Chair A,Furniture,Barranquilla,2690,23,19
2024-04-11,Phone Y,Electronics,Cali,2817,19,13
2024-04-15,Widget B,Office,Barranquilla,2947,35,33
2024-04-21,Chair A,Furniture,Barranquilla,2287,14,12
2024-04-25,Widget B,Office,Barranquilla,2880,14,11
2024-04-27,Desk B,Furniture,Cali,2405,14,13
2024-04-28,Laptop X,Electronics,Medellín,2951,18,13
2024-05-01,Phone Y,Electronics,Barranquilla,2668,30,24
2024-05-03,Desk B,Furniture,Bogotá,3352,19,17
2024-05-07,Tablet Z,Electronics,Medellín,3057,16,12
2024-05-09,Widget B,Office,Bogotá,3332,17,13
2024-05-12,Widget B,Office,Medellín,2979,21,16
